week,date,net_kyen
210101,2021-01-08,379899310.0
210102,2021-01-15,271106676.0
210103,2021-01-22,-149384242.0
210104,2021-01-29,-32236931.0
210201,2021-02-05,403802923.0
210202,2021-02-12,316972877.0
210203,2021-02-19,-28183916.0
210204,2021-02-26,-358512153.0
210301,2021-03-05,51167354.0
210302,2021-03-12,276846347.0
210303,2021-03-19,408985597.0
210304,2021-03-26,-353755683.0
210305,2021-04-02,82103728.0
210401,2021-04-09,441727119.0
210402,2021-04-16,-3002902.0
210403,2021-04-23,19803937.0
210404,2021-04-30,37880371.0
210501,2021-05-07,226547740.0
210502,2021-05-14,-394967528.0
210503,2021-05-21,-231960756.0
210504,2021-05-28,379849665.0
210601,2021-06-04,74913470.0
210602,2021-06-11,-219177692.0
210603,2021-06-18,140222594.0
210604,2021-06-25,-118903547.0
210605,2021-07-02,-259110772.0
210701,2021-07-09,27318655.0
210702,2021-07-16,116328700.0
210703,2021-07-21,-306542682.0
210704,2021-07-30,-53216643.0
210801,2021-08-06,62319243.0
210802,2021-08-13,163117185.0
210803,2021-08-20,-373739087.0
210804,2021-08-27,-5985547.0
210901,2021-09-03,363621678.0
210902,2021-09-10,274504800.0
210903,2021-09-17,-48186945.0
210904,2021-09-24,-278018873.0
210905,2021-10-01,-472492173.0
211001,2021-10-08,475294430.0
211002,2021-10-15,481801238.0
211003,2021-10-22,-109414398.0
211004,2021-10-29,-136189171.0
211101,2021-11-05,123606002.0
211102,2021-11-12,-26826566.0
211103,2021-11-19,-140591926.0
211104,2021-11-26,-225339255.0
211201,2021-12-03,-125405112.0
211202,2021-12-10,-251513173.0
211203,2021-12-17,-453713162.0
211204,2021-12-24,56939305.0
211205,2021-12-30,101817551.0
220101,2022-01-07,325924278.0
220102,2022-01-14,-49490891.0
220103,2022-01-21,-285966118.0
220104,2022-01-28,-201691958.0
220201,2022-02-04,-160628269.0
220202,2022-02-10,6752245.0
220203,2022-02-18,25401570.0
220204,2022-02-25,-265794537.0
220301,2022-03-04,-241204467.0
220302,2022-03-11,-985532208.0
220303,2022-03-18,-214310802.0
220304,2022-03-25,-168732078.0
220305,2022-04-01,366225647.0
220401,2022-04-08,712541299.0
220402,2022-04-15,105552785.0
220403,2022-04-22,266437255.0
220404,2022-04-28,150669962.0
220501,2022-05-06,59176365.0
220502,2022-05-13,-340547682.0
220503,2022-05-20,37359871.0
220504,2022-05-27,-15753785.0
220601,2022-06-03,-27981266.0
220602,2022-06-10,181149671.0
220603,2022-06-17,-773891895.0
220604,2022-06-24,-179721463.0
220605,2022-07-01,-344622002.0
220701,2022-07-08,411883278.0
220702,2022-07-15,-130816108.0
220703,2022-07-22,179094207.0
220704,2022-07-29,-295681791.0
220801,2022-08-05,-81227852.0
220802,2022-08-12,114450814.0
220803,2022-08-19,-48042823.0
220804,2022-08-26,-111885902.0
220805,2022-09-02,-395461349.0
220901,2022-09-09,-22588462.0
220902,2022-09-16,-54268946.0
220903,2022-09-22,-170624306.0
220904,2022-09-30,-555972754.0
221001,2022-10-07,393491867.0
221002,2022-10-14,169999292.0
221003,2022-10-21,-485897673.0
221004,2022-10-28,50129337.0
221101,2022-11-04,403891956.0
221102,2022-11-11,503098487.0
221103,2022-11-18,-41881312.0
221104,2022-11-25,394328906.0
221105,2022-12-02,22669170.0
221201,2022-12-09,-49988889.0
221202,2022-12-16,-6963461.0
221203,2022-12-23,-224405014.0
221204,2022-12-30,177047107.0
230101,2023-01-06,-52508301.0
230102,2023-01-13,171660629.0
230103,2023-01-20,104809449.0
230104,2023-01-27,313940024.0
230201,2023-02-03,-29101797.0
230202,2023-02-10,198207967.0
230203,2023-02-17,214820463.0
230204,2023-02-24,-221497868.0
230301,2023-03-03,-111917048.0
230302,2023-03-10,-1116420508.0
230303,2023-03-17,-563378675.0
230304,2023-03-24,-447363334.0
230305,2023-03-31,17603639.0
230401,2023-04-07,724452469.0
230402,2023-04-14,1048794998.0
230403,2023-04-21,298836416.0
230404,2023-04-28,158243797.0
230501,2023-05-02,160979703.0
230502,2023-05-12,588395171.0
230503,2023-05-19,716672132.0
230504,2023-05-26,409634603.0
230505,2023-06-02,529795300.0
230601,2023-06-09,986392978.0
230602,2023-06-16,599784189.0
230603,2023-06-23,-335329877.0
230604,2023-06-30,340777279.0
230701,2023-07-07,90918234.0
230702,2023-07-14,303155705.0
230703,2023-07-21,39388813.0
230704,2023-07-28,83361072.0
230801,2023-08-04,23747153.0
230802,2023-08-10,175670829.0
230803,2023-08-18,-736581700.0
230804,2023-08-25,-209454087.0
230805,2023-09-01,335306921.0
230901,2023-09-08,-749035097.0
230902,2023-09-15,-267380609.0
230903,2023-09-22,-864444137.0
230904,2023-09-29,-57544343.0
231001,2023-10-06,541479079.0
231002,2023-10-13,474964772.0
231003,2023-10-20,-63582673.0
231004,2023-10-27,76576356.0
231101,2023-11-02,39293252.0
231102,2023-11-10,69334899.0
231103,2023-11-17,322394363.0
231104,2023-11-24,-10774153.0
231105,2023-12-01,-362466959.0
231201,2023-12-08,-546818669.0
231202,2023-12-15,252891679.0
231203,2023-12-22,55764008.0
231204,2023-12-29,-226298455.0
240101,2024-01-05,159151902.0
240102,2024-01-12,958873334.0
240103,2024-01-19,389396179.0
240104,2024-01-26,405492743.0
240105,2024-02-02,177461665.0
240201,2024-02-09,377699333.0
240202,2024-02-16,263790082.0
240203,2024-02-22,-63352892.0
240204,2024-03-01,388858513.0
240301,2024-03-08,184565632.0
240302,2024-03-15,-50270373.0
240303,2024-03-22,82860737.0
240304,2024-03-29,-183237845.0
240401,2024-04-05,1211008420.0
240402,2024-04-12,613788467.0
240403,2024-04-19,-561772560.0
240404,2024-04-26,202956224.0
240501,2024-05-02,190884295.0
240502,2024-05-10,270089002.0
240503,2024-05-17,38398605.0
240504,2024-05-24,-101703587.0
240505,2024-05-31,-110178128.0
240601,2024-06-07,-194089038.0
240602,2024-06-14,-269426268.0
240603,2024-06-21,-18456098.0
240604,2024-06-28,114075232.0
240701,2024-07-05,192389821.0
240702,2024-07-12,125814298.0
240703,2024-07-19,-217747990.0
240704,2024-07-26,-552451051.0
240705,2024-08-02,-567004046.0
240801,2024-08-09,455374941.0
240802,2024-08-16,184870202.0
240803,2024-08-23,-408854431.0
240804,2024-08-30,-237009201.0
240901,2024-09-06,-798478420.0
240902,2024-09-13,-1533681074.0
240903,2024-09-20,-545527257.0
240904,2024-09-27,-67269398.0
241001,2024-10-04,420226829.0
241002,2024-10-11,264571531.0
241003,2024-10-18,-45657323.0
241004,2024-10-25,-9016115.0
241005,2024-11-01,-210573497.0
241101,2024-11-08,175962474.0
241102,2024-11-15,135528387.0
241103,2024-11-22,-353170006.0
241104,2024-11-29,-193016862.0
241201,2024-12-06,128762011.0
241202,2024-12-13,-513291551.0
241203,2024-12-20,-442057219.0
241204,2024-12-27,466310766.0
241205,2024-12-30,-58453661.0
250101,2025-01-10,378615859.0
250102,2025-01-17,8063521.0
250103,2025-01-24,389069186.0
250104,2025-01-31,-335422021.0
250201,2025-02-07,-282093776.0
250202,2025-02-14,96878048.0
250203,2025-02-21,-146489956.0
250204,2025-02-28,-607714080.0
250301,2025-03-07,-73953965.0
250302,2025-03-14,-792161132.0
250303,2025-03-21,227275420.0
250304,2025-03-28,-827138241.0
250401,2025-04-04,621750486.0
250402,2025-04-11,132692788.0
250403,2025-04-18,167950271.0
250404,2025-04-25,306180686.0
250501,2025-05-02,386993183.0
250502,2025-05-09,363985893.0
250503,2025-05-16,597828622.0
250504,2025-05-23,283322651.0
250505,2025-05-30,611564165.0
250601,2025-06-06,393216039.0
250602,2025-06-13,96873927.0
250603,2025-06-20,97075374.0
250604,2025-06-27,366091354.0
250701,2025-07-04,577500603.0
250702,2025-07-11,400343944.0
250703,2025-07-18,200238561.0
250704,2025-07-25,571534383.0
250705,2025-08-01,-199357862.0
250801,2025-08-08,-37324415.0
250802,2025-08-15,555031880.0
250803,2025-08-22,-187549994.0
250804,2025-08-29,-286690236.0
250901,2025-09-05,163179673.0
250902,2025-09-12,-653313300.0
250903,2025-09-19,-289347197.0
250904,2025-09-26,-531265005.0
251001,2025-10-03,1278636968.0
251002,2025-10-10,1071607049.0
251003,2025-10-17,183252322.0
251004,2025-10-24,650182808.0
251005,2025-10-31,371650523.0
251101,2025-11-07,-321370409.0
251102,2025-11-14,521885223.0
251103,2025-11-21,-403243124.0
251104,2025-11-28,-138828994.0
251201,2025-12-05,48916475.0
251202,2025-12-12,202055472.0
251203,2025-12-19,-432227807.0
251204,2025-12-26,-37471712.0
251205,2025-12-30,-2002089.0
260101,2026-01-09,1212766146.0
260102,2026-01-16,750493712.0
260103,2026-01-23,212782519.0
260104,2026-01-30,187026279.0
260201,2026-02-06,248667393.0
260202,2026-02-13,1191806644.0
260203,2026-02-20,523389703.0
260204,2026-02-27,745409937.0
260301,2026-03-06,226130451.0
260302,2026-03-13,-472897397.0
260303,2026-03-19,-491896033.0
260304,2026-03-27,-1508629733.0
260401,2026-04-03,1909324265.0
260402,2026-04-10,1635174762.0
260403,2026-04-17,984959388.0
260404,2026-04-24,826535901.0
260405,2026-05-01,388671302.0
260501,2026-05-08,1209653731.0
260502,2026-05-15,534638487.0
260503,2026-05-22,464294285.0
260504,2026-05-29,-357218634.0
260601,2026-06-05,-65596731.0
260602,2026-06-12,-487119676.0
260603,2026-06-19,1068065563.0
260604,2026-06-26,-1208567543.0
260701,2026-07-03,366566132.0
260702,2026-07-10,517154662.0
